Sentiment,Text,Clean_Text,Predicted_Sentiment
Negative,المشكله ناس بتسمع حالها بالحمام هيه وبتغني,المشكله ناس بتسمع حالها بالحمام هيه وبتغني,Negative
Negative,المعنى الحقيقي لعاهاتك يا وطن,المعنى الحقيقي لعاهاتك يا وطن,Negative
Negative,المغرب بريء منك على الاقل اذا كنت لهجتنا صعبه فتكلم باللغه العربيه,المغرب بريء منك على الاقل اذا كنت لهجتنا صعبه فتكلم باللغه العربيه,Negative
Positive,الملح احسن علاج لالتهاب الحلق ومفعوله اسرع من الادويه,الملح احسن علاج لالتهاب الحلق ومفعوله اسرع من الادويه,Positive
Negative,المنتخب الايطالي عقيم هجوميا بعد ماكان منتخب يخشى هجومه كل المنتخبات,المنتخب الايطالي عقيم هجوميا بعد ماكان منتخب يخشى هجومه كل المنتخبات,Negative
Positive,المهم الدعاء في السجود حتى تغسل عينيك الدموع,المهم الدعاء في السجود حتى تغسل عينيك الدموع,Positive
Positive,المهم هو الصادق معي الناصح لي,المهم هو الصادق معي الناصح لي,Positive
Positive,المواساه والمحبه بكل الامور رمز الاخوه,المواساه والمحبه بكل الامور رمز الاخوه,Positive
Negative,الموضوع ما اله علاقه بالتخلف بس لما تكون الاضرار اكثر من الفائده بلا منه ا?هم من هيك انه المفاعل بحاجه لتبريد دائم للاسف وين المي يلي عنا؟؟؟؟,الموضوع ما اله علاقه بالتخلف بس لما تكون الاضرار اكثر من الفائده بلا منه اهم من هيك انه المفاعل بحاجه لتبريد دائم للاسف وين المي يلي عنا؟؟؟؟,Negative
Positive,المومين الى بعضهم كالبناء الزى يشد بعضه البعض,المومين الى بعضهم كالبناء الزى يشد بعضه البعض,Positive
Positive,النظافه من الايمان,النظافه من الايمان,Positive
Negative,النقاش العقلاني ينتهي يانك تقنع الشخص يا انك تقتنع اذا ما انتهى النقاش كذا واللي قدامك مصدي الحل الثالث تتفل بوجهه و بكذا يكون انتهى النقاش,النقاش العقلاني ينتهي يانك تقنع الشخص يا انك تقتنع اذا ما انتهى النقاش كذا واللي قدامك مصدي الحل الثالث تتفل بوجهه و بكذا يكون انتهى النقاش,Negative
Positive,النيه دايما بتكون موجوده وربنا المعين,النيه دايما بتكون موجوده وربنا المعين,Positive
Negative,الواحد عايش وسط قرف,الواحد عايش وسط قرف,Negative
Negative,الوحيد الذي لايتركني ولو لحظه,الوحيد الذي لايتركني ولو لحظه,Negative
Positive,الوفاء اصبح شئ نادر يكاد يكون معدوم,الوفاء اصبح شئ نادر يكاد يكون معدوم,Positive
Positive,الوفاء في غير قلبك ما لقيت,الوفاء في غير قلبك ما لقيت,Positive
Negative,الى ابن بشار الاسد كس اخت ابوك,الى ابن بشار الاسد كس اخت ابوك,Negative
Negative,الى اعتصام مفتوح ميدان تحرير للتخلص من قوى الفساد الافساد,الى اعتصام مفتوح ميدان تحرير للتخلص من قوى الفساد الافساد,Negative
Negative,الى جهنم وبئس المصير,الى جهنم وبئس المصير,Negative
Negative,الى يقارن بينه وبين مرسى يبقى متخلف,الى يقارن بينه وبين مرسى يبقى متخلف,Negative
Negative,الي استحو ماتو,الي استحو ماتو,Negative
Negative,الي انا شايفو انو المفاعل راح ينعمل في الاردن راح يخدم دول تانيه يعني مش عشان سواد عيونا,الي انا شايفو انو المفاعل راح ينعمل في الاردن راح يخدم دول تانيه يعني مش عشان سواد عيونا,Negative
Positive,اليك يا ربي قلبا لم يستعن بسواك، ياوي اليك لترضى ويهتدي بهداك,اليك يا ربي قلبا لم يستعن بسواك، ياوي اليك لترضى ويهتدي بهداك,Positive
Positive,اﻻسلام ليس فيه رهبانيه انما هو دين علم وعمل وبحث وتطوير... وعندما طبقنا هذا المبدا سدنا العالم,اﻻسلام ليس فيه رهبانيه انما هو دين علم وعمل وبحث وتطوير وعندما طبقنا هذا المبدا سدنا العالم,Positive
Negative,اما الغبي اللي يقلد جورج وسوف,اما الغبي اللي يقلد جورج وسوف,Negative
Positive,اما في الدين فتصير اخوه في الله وهي ارقى العلاقات الانسانيه بصحيح الحديث رب اخ لم تلده امك,اما في الدين فتصير اخوه في الله وهي ارقى العلاقات الانسانيه بصحيح الحديث رب اخ لم تلده امك,Positive
Negative,اما وهابيتك فحدث ولا حرج الناس يقادون الى المساجد غصبا ويجلدون كالابقار ان هم ابوا,اما وهابيتك فحدث ولا حرج الناس يقادون الى المساجد غصبا ويجلدون كالابقار ان هم ابوا,Negative
Positive,امشي عدل يحتار عدوك فيك,امشي عدل يحتار عدوك فيك,Positive
Positive,املا رئتيك بعبق السماء مع ولاده صباح جديد تهتز له الحياه تحتفل ايقظ عقلك بالنور ابعث همتك حيه متوثبه لتطوي نهارك في فرح,املا رئتيك بعبق السماء مع ولاده صباح جديد تهتز له الحياه تحتفل ايقظ عقلك بالنور ابعث همتك حيه متوثبه لتطوي نهارك في فرح,Positive
Negative,اموت بصوتها,اموت بصوتها,Negative
Negative,اموت فيج رويده,اموت فيج رويده,Negative
Positive,اميره ممكن اضافه لو سمحتي,اميره ممكن اضافه لو سمحتي,Positive
Positive,امين يا رب انت شاب زي الفل ما شاء الله عليك,امين يا رب انت شاب زي الفل ما شاء الله عليك,Positive
Positive,ان  المعلم الذي يسعى للتطوير والاستزاده هو الاقدر على غرس الالتزام والطموح في طلابه,ان  المعلم الذي يسعى للتطوير والاستزاده هو الاقدر على غرس الالتزام والطموح في طلابه,Positive
Positive,ان الجميل اذا اخفيته ظهرا,ان الجميل اذا اخفيته ظهرا,Positive
Positive,ان الدين عند الله الاسلام هذا هو الدين الذي يجب ان يعتنقه كل انسان علي وجه الارض وليس العرب فقط اللهم اهدي غير المسلمين الي دين الاسلام,ان الدين عند الله الاسلام هذا هو الدين الذي يجب ان يعتنقه كل انسان علي وجه الارض وليس العرب فقط اللهم اهدي غير المسلمين الي دين الاسلام,Positive
Positive,ان الله على كل شيء قدير,ان الله على كل شيء قدير,Positive
Positive,ان الله لا يتخل عن عباده ابدا,ان الله لا يتخل عن عباده ابدا,Positive
Positive,ان الله لا يضيع اجر المحسنين,ان الله لا يضيع اجر المحسنين,Positive
Positive,ان الله هو الرزاق دو القوه المتين,ان الله هو الرزاق دو القوه المتين,Positive
Positive,ان النجاح يحتاج الي قلبا ثابت عقلا راشد طموحا واعد تحدي كاسر,ان النجاح يحتاج الي قلبا ثابت عقلا راشد طموحا واعد تحدي كاسر,Positive
Positive,ان شاء الله ربنا يعينا على فعل الطاعات,ان شاء الله ربنا يعينا على فعل الطاعات,Positive
Positive,ان شاء الله هنكمل مشوار النجاح,ان شاء الله هنكمل مشوار النجاح,Positive
Positive,ان شاء الله وربنا يعيننا,ان شاء الله وربنا يعيننا,Positive
Positive,ان شاء الله يتقبل الله صلاتنا يزيد في صلاتنا الخشوع,ان شاء الله يتقبل الله صلاتنا يزيد في صلاتنا الخشوع,Positive
Positive,ان من صفات الاسلام الامانه,ان من صفات الاسلام الامانه,Positive
Negative,انا ابو عدوله هذا لو قدامي صدق اني راح العن ابو من جابه,انا ابو عدوله هذا لو قدامي صدق اني راح العن ابو من جابه,Negative
Positive,انا احب هذا الكاتب,انا احب هذا الكاتب,Positive
Positive,انا اخدت قرار وبعدت عن معصيه لله وقدرت وربي وفقني,انا اخدت قرار وبعدت عن معصيه لله وقدرت وربي وفقني,Positive
Negative,انا اردني بقول الشعب بيستاهل غلا اكثر من هيك,انا اردني بقول الشعب بيستاهل غلا اكثر من هيك,Negative
Negative,انا اشوفه انه عادي ولا فيه اي معنى وايش مليوني مشاهد والله انه ما يستحق الى هذا الحد من المشاهده وبعدين هاض شي مقزز,انا اشوفه انه عادي ولا فيه اي معنى وايش مليوني مشاهد والله انه ما يستحق الى هذا الحد من المشاهده وبعدين هاض شي مقزز,Negative
Positive,انا اقدر الاخلاص الوفاء بشكل كبير,انا اقدر الاخلاص الوفاء بشكل كبير,Positive
Negative,انا الوحيده الي احس طعم الببسي كنه حديد مصدي,انا الوحيده الي احس طعم الببسي كنه حديد مصدي,Negative
Negative,انا انجنيت,انا انجنيت,Negative
Positive,انا انصح كل انسان ان لايكذب لان الكذب مداه قصير,انا انصح كل انسان ان لايكذب لان الكذب مداه قصير,Positive
Positive,انا بحب كل الناس بتمنالهم الخير,انا بحب كل الناس بتمنالهم الخير,Positive
Positive,انا بدات اتحرك شاركت بفكره ستغير الكثير من واقعن,انا بدات اتحرك شاركت بفكره ستغير الكثير من واقعن,Positive
Negative,انا بكرهك,انا بكرهك,Negative
Negative,انا توجيهي سعودي و بدرس بجامعه من احسن جامعات الاردن ، و الشعب قاعد يعيد توجيهي و يرسب من ورى الوزير ,انا توجيهي سعودي و بدرس بجامعه من احسن جامعات الاردن ، و الشعب قاعد يعيد توجيهي و يرسب من ورى الوزير,Negative
Positive,انا حاسه انه قلبى مليان وعامر بنور الله,انا حاسه انه قلبى مليان وعامر بنور الله,Positive
Negative,انا خلينى ساكته احسن,انا خلينى ساكته احسن,Negative
Positive,انا دايما فرحان مش سائل بالدنيا الحمد لله,انا دايما فرحان مش سائل بالدنيا الحمد لله,Positive
Negative,انا دمرت انا دمرت مستقبلي ضاع وما معي اكل خبز شو هالحياه شو هالقرف مش حياه الحياه كلها ظلم ما في شغل الاردن,انا دمرت انا دمرت مستقبلي ضاع وما معي اكل خبز شو هالحياه شو هالقرف مش حياه الحياه كلها ظلم ما في شغل الاردن,Negative
Negative,انا شوفت وقاحه بس زاي وقاحه الاخوان ما شوفت,انا شوفت وقاحه بس زاي وقاحه الاخوان ما شوفت,Negative
Negative,انا ضد النووي كالاردن البحث عن مصادر للطاقه النظيفه خصوصا اننا نفتقر للماء و الاجدى بنا ايضا ان نبحث عن سبل لحل مشكله المياه بالمبالغ التي ستصرف على المفاعلات النوويه,انا ضد النووي كالاردن البحث عن مصادر للطاقه النظيفه خصوصا اننا نفتقر للماء و الاجدى بنا ايضا ان نبحث عن سبل لحل مشكله المياه بالمبالغ التي ستصرف على المفاعلات النوويه,Negative
Negative,انا عرف شيء والله ببكي اكتر ما بضحك,انا عرف شيء والله ببكي اكتر ما بضحك,Negative
Positive,انا علي ثقه اني استطيع فعل اي شئ لاني انا من صنع الله,انا علي ثقه اني استطيع فعل اي شئ لاني انا من صنع الله,Positive
Positive,انا فعلا عملت كده والحمدلله بقيت احسن من غير الحجات الي ربنا خدها مني الحمدلله,انا فعلا عملت كده والحمدلله بقيت احسن من غير الحجات الي ربنا خدها مني الحمدلله,Positive
Positive,انا فعلا قررت واخدت القرار ده وحاسه براحه وسعاده كبيره اوي بقربي من ربنا بجد الحمد لله,انا فعلا قررت واخدت القرار ده وحاسه براحه وسعاده كبيره اوي بقربي من ربنا بجد الحمد لله,Positive
Positive,انا فعلا مؤمن بالفكره دي جدا وبحاول انفذها,انا فعلا مؤمن بالفكره دي جدا وبحاول انفذها,Positive
Positive,انا كل يوم اقول غدا سوف اصلي لكن لا اقدر انا ادعوا الله دائما ان يهديني ارجو من من يملك حل مراسلتي,انا كل يوم اقول غدا سوف اصلي لكن لا اقدر انا ادعوا الله دائما ان يهديني ارجو من من يملك حل مراسلتي,Positive
Positive,انا لا احلم ان اغير العالم ولكن احلم بان استطيع ان ارسم البسمه علي وجوه الاخرين,انا لا احلم ان اغير العالم ولكن احلم بان استطيع ان ارسم البسمه علي وجوه الاخرين,Positive
Negative,انا لاحظت اللبنانيين انهم ماعندهم روح الكوميديا نهائيا,انا لاحظت اللبنانيين انهم ماعندهم روح الكوميديا نهائيا,Negative
Negative,انا لله انا اليه راجعون الله يستر هالبلد,انا لله انا اليه راجعون الله يستر هالبلد,Negative
Negative,انا لو مكان راغب اروح انتحرر,انا لو مكان راغب اروح انتحرر,Negative
Negative,انا مِا اغيب الا اذا كرهّت اني ابقى راجع افعالك قبل كُل حاجه,انا ما اغيب الا اذا كرهت اني ابقى راجع افعالك قبل كل حاجه,Negative
Negative,انا متاكده انو هذولي مدفوعلهم علشان يجون يغنون لانو مافي ناس مهابيل لهالدرجه,انا متاكده انو هذولي مدفوعلهم علشان يجون يغنون لانو مافي ناس مهابيل لهالدرجه,Negative
Negative,انا متشائم رح اضل متشائم حتى ينزلوا البنزين,انا متشائم رح اضل متشائم حتى ينزلوا البنزين,Negative
Negative,انا مش مسؤول عن الحراميه يتفنجرو بمصاري البلد انا اشحد,انا مش مسؤول عن الحراميه يتفنجرو بمصاري البلد انا اشحد,Negative
Negative,انا مع الاخ محمد سلامه بهالموضوع,انا مع الاخ محمد سلامه بهالموضوع,Negative
Positive,انا معك بان دين الاسلام لكل الناس وفي كل زمان ومكان,انا معك بان دين الاسلام لكل الناس وفي كل زمان ومكان,Positive
Positive,انبسط يا عم افرح,انبسط يا عم افرح,Positive
Negative,انت ما تستحي تقارن القران بوحده ساقطه انعل ابوك لا ابو الملحد,انت ما تستحي تقارن القران بوحده ساقطه انعل ابوك لا ابو الملحد,Negative
Negative,انت ما شفت النسخه الاوروبيه والامريكيه والماليزيه من نفس البرنامج فيها بلاوي اكثر من كذا بس حنا العرب فينا عقده النقص والتخلف,انت ما شفت النسخه الاوروبيه والامريكيه والماليزيه من نفس البرنامج فيها بلاوي اكثر من كذا بس حنا العرب فينا عقده النقص والتخلف,Negative
Positive,انت مو انت انت جوعان كل شوكولاته افرح,انت مو انت انت جوعان كل شوكولاته افرح,Negative
Negative,انت واحد حقير,انت واحد حقير,Negative
Negative,انت واحد عنجد قليل ادب الله يموت الي امثالك,انت واحد عنجد قليل ادب الله يموت الي امثالك,Negative
Negative,انت واحد ما بتستا هل الجزمه,انت واحد ما بتستا هل الجزمه,Negative
Positive,انت يا دكتور خير اخ ربنا يزور عليك,انت يا دكتور خير اخ ربنا يزور عليك,Positive
Negative,انتخب مين يا عم هى ناقصه لبخه فى الكلام معتش الا الاهبل ده كمان يبقى رئيس جمهوريه,انتخب مين يا عم هى ناقصه لبخه فى الكلام معتش الا الاهبل ده كمان يبقى رئيس جمهوريه,Positive
Negative,انتم يا قطريه شن عارفكم السياسه انتم لاعندكم جيش ولا استراتجيه ثابته انتم عملاء امريكا يا خونه,انتم يا قطريه شن عارفكم السياسه انتم لاعندكم جيش ولا استراتجيه ثابته انتم عملاء امريكا يا خونه,Negative
Positive,انته جميل جدا ربنا يثبتك واتمني ان كل المسلمين تكون اخلاقياتهم في حياتهم العاديه قدوه ودعوه لكل غير المسلمين,انته جميل جدا ربنا يثبتك واتمني ان كل المسلمين تكون اخلاقياتهم في حياتهم العاديه قدوه ودعوه لكل غير المسلمين,Positive
Negative,انته والمعك كلهم سافلين ووقحين,انته والمعك كلهم سافلين ووقحين,Positive
Negative,انتو كلاب ازى تسو المصحف بى كلابه زى ده,انتو كلاب ازى تسو المصحف بى كلابه زى ده,Negative
Negative,انتي عنجد بنت فاشله,انتي عنجد بنت فاشله,Negative
Negative,اندهش لما عرف الحقيقه,اندهش لما عرف الحقيقه,Negative
Negative,انسان غريب,انسان غريب,Negative
Positive,انشاء الله نكون راضين بقضاء الله لكننا نرجو من الله اللطف فيه,انشاء الله نكون راضين بقضاء الله لكننا نرجو من الله اللطف فيه,Positive
Positive,انشاء الله هنعمل حاجه تفتخرو فيها,انشاء الله هنعمل حاجه تفتخرو فيها,Negative
Negative,انشالله انو يطلع كلام فاضي لانو اذا ضربت سوريا الاردن رح اتصير حرب عالميه ثالثه وما رح اتخلص غير لما نتخزق,انشالله انو يطلع كلام فاضي لانو اذا ضربت سوريا الاردن رح اتصير حرب عالميه ثالثه وما رح اتخلص غير لما نتخزق,Negative
Positive,انما المؤمنون اخوه فاصلحو ذات البين,انما المؤمنون اخوه فاصلحو ذات البين,Positive
Positive,انما بعثت لاتم مكارم الاخلاق,انما بعثت لاتم مكارم الاخلاق,Positive
Negative,اننا نعيش في زمن بلا رحمه,اننا نعيش في زمن بلا رحمه,Negative
Negative,انني كومه من القلق والرجفه اكثر من كوني انسان,انني كومه من القلق والرجفه اكثر من كوني انسان,Negative
Positive,انه دين يسر وليس بدين عسر,انه دين يسر وليس بدين عسر,Positive
Positive,انه غير مسلم ويعرف قلبه الوفاء فكيف حال المسلمين اللهم ارزق بنات المسلمين زوجا طيبا محبا مثله,انه غير مسلم ويعرف قلبه الوفاء فكيف حال المسلمين اللهم ارزق بنات المسلمين زوجا طيبا محبا مثله,Positive
Positive,اني احبك في الله,اني احبك في الله,Positive
Negative,اه لو لا القران لقلت ان انكر الاصوات لهذه الاصوات,اه لو لا القران لقلت ان انكر الاصوات لهذه الاصوات,Negative
Negative,اه يا ابو القمل,اه يا ابو القمل,Negative
Negative,اه ياشويه عاهات,اه ياشويه عاهات,Negative
Negative,اهل العقول براحه ام نسيانك يابو نسيان صعب والله صعب,اهل العقول براحه ام نسيانك يابو نسيان صعب والله صعب,Negative
Positive,اهلا بك في دين الحق والسلام,اهلا بك في دين الحق والسلام,Positive
Positive,اهلا بيك فى دين الله ربنا يثبتك ويزيدك ايمانا انا فرحانه بيك كتير,اهلا بيك فى دين الله ربنا يثبتك ويزيدك ايمانا انا فرحانه بيك كتير,Positive
Positive,اهلا وسهلا بشخصك الكريم,اهلا وسهلا بشخصك الكريم,Positive
Positive,اهلا وسهلا بك بيننا يا طارق,اهلا وسهلا بك بيننا يا طارق,Positive
Positive,اهم اشي اكون مبسوط,اهم اشي اكون مبسوط,Negative
Negative,اهم شي الواسطه والمظهر الخارجي,اهم شي الواسطه والمظهر الخارجي,Negative
Negative,اهما ودهم يروحون النار لكن النار مارضت فيهم,اهما ودهم يروحون النار لكن النار مارضت فيهم,Negative
Negative,اوسخ شي المناديل,اوسخ شي المناديل,Negative
Negative,اوغاد باعو البلد,اوغاد باعو البلد,Negative
Negative,اوقف القرار للحفاظ على الوطن,اوقف القرار للحفاظ على الوطن,Negative
Negative,اول واحد ذكرنى بصاحب اسمه قرده,اول واحد ذكرنى بصاحب اسمه قرده,Negative
Positive,اي الله صحيح اهم شي الانسان كرامته,اي الله صحيح اهم شي الانسان كرامته,Negative
Negative,اي تفائل هاد يا زلمه روح تشائم احسلك,اي تفائل هاد يا زلمه روح تشائم احسلك,Negative
Negative,اي تقدم اي ازدهار مفاعل النوويه بعمل الامراض كثير اهم السرطان الله يبعده عنها انا معهم رفض المفاعل النوويه,اي تقدم اي ازدهار مفاعل النوويه بعمل الامراض كثير اهم السرطان الله يبعده عنها انا معهم رفض المفاعل النوويه,Negative
Negative,اي والله سوبر,اي والله سوبر,Negative
Negative,ايس شراع القرف,ايس شراع القرف,Negative
Negative,اين ذهبوا العلماء والمخترعين والمفكرين جرب في جرب,اين ذهبوا العلماء والمخترعين والمفكرين جرب في جرب,Negative
Positive,ايه الاحساس الراقى ,ايه الاحساس الراقى,Positive
Negative,ايه الهبل دا,ايه الهبل دا,Negative
Negative,ايه راحه فيها المسكين ياحرام,ايه راحه فيها المسكين ياحرام,Negative
Negative,ايها الصغار المتناكفون انكم مع كل منشور ضد بعضكم البعض تصغرون اكثر مما انتم صغار فلا يسلك هذا الطريق الا صغير ساذج يحب ان يعيش على القذارات,ايها الصغار المتناكفون انكم مع كل منشور ضد بعضكم البعض تصغرون اكثر مما انتم صغار فلا يسلك هذا الطريق الا صغير ساذج يحب ان يعيش على القذارات,Negative
Positive,ايوه هيك بدنا ياكم يا شباب بترفعو الراس,ايوه هيك بدنا ياكم يا شباب بترفعو الراس,Positive
Positive,باذن الله بديت ولو مؤخرا بنفسى الحمد لله,باذن الله بديت ولو مؤخرا بنفسى الحمد لله,Positive
Negative,بارد ومصقع,بارد ومصقع,Negative
Positive,بارك الله في دين الاسلم,بارك الله في دين الاسلم,Positive
Positive,بارك الله في كاتبها,بارك الله في كاتبها,Positive
Positive,بارك الله فيك انا نضال فدعولي بزوجه صالحه,بارك الله فيك انا نضال فدعولي بزوجه صالحه,Positive
Positive,بارك الله فيك نتمنى المزيد من النصائح,بارك الله فيك نتمنى المزيد من النصائح,Positive
Positive,بارك الله لكما وبارك عليكما وجمع بينكما على خير,بارك الله لكما وبارك عليكما وجمع بينكما على خير,Positive
Negative,بالله تسكتوا خلينا بحالنا بدناش مشاكل ايه,بالله تسكتوا خلينا بحالنا بدناش مشاكل ايه,Negative
Negative,بالله عليك فين الاناقه في الناس اللي بتغني دي,بالله عليك فين الاناقه في الناس اللي بتغني دي,Negative
Negative,باللـــه عليكم الم تستحيوا من انفسكم قبل قدومكم الى هذا البرنامج ثم الم تعلموا ان هناك مسابقات لانكر الاصوات في قناه اخرى,بالله عليكم الم تستحيوا من انفسكم قبل قدومكم الى هذا البرنامج ثم الم تعلموا ان هناك مسابقات لانكر الاصوات في قناه اخرى,Negative
Negative,بالله يا شباب وش رايكم بالاشكال هذه هل تتوقعون اهلهم كارهينهم والناس تجي لاهاليهم وتقول لهم حرام عليكم هذول من دمكم,بالله يا شباب وش رايكم بالاشكال هذه هل تتوقعون اهلهم كارهينهم والناس تجي لاهاليهم وتقول لهم حرام عليكم هذول من دمكم,Negative
Positive,بالمناسبه انا مؤدب جدا ، لا احتسى الكحول ولا ابحث عن علاقات مشبوه,بالمناسبه انا مؤدب جدا ، لا احتسى الكحول ولا ابحث عن علاقات مشبوه,Negative
Negative,بتخافى حد ياخد مكانك مع انك مالكيش مكان اصلا ,بتخافى حد ياخد مكانك مع انك مالكيش مكان اصلا,Negative
Positive,بتقول كلام زي الفل,بتقول كلام زي الفل,Positive
Positive,بتمنى لو ان تقوم بعثه للدعاه من مصر تزور جميع البلاد تعرفهم تشرح ما هو الدين الاسلامي تنشر بحق فى كل مكان,بتمنى لو ان تقوم بعثه للدعاه من مصر تزور جميع البلاد تعرفهم تشرح ما هو الدين الاسلامي تنشر بحق فى كل مكان,Positive
Positive,بجد ربنا يبارك فى كلماتك بتوصل والله,بجد ربنا يبارك فى كلماتك بتوصل والله,Positive
Positive,بجد موضوع رائع وانا اجد انه مناسب ايضا لهذا الوقت يارب احفظنا من جميع الفتن,بجد موضوع رائع وانا اجد انه مناسب ايضا لهذا الوقت يارب احفظنا من جميع الفتن,Positive
Positive,بدعى على طول بان الله يرزقنى الخشوع,بدعى على طول بان الله يرزقنى الخشوع,Positive
Negative,بدك الصراحه بدون زعل جهنم الزبانيه من الملائكه تنتظرك تموت لتشرب من فروج المومسات صديد اهل النار ان شاء الله يا اوباش سوريا,بدك الصراحه بدون زعل جهنم الزبانيه من الملائكه تنتظرك تموت لتشرب من فروج المومسات صديد اهل النار ان شاء الله يا اوباش سوريا,Negative
Negative,بدكو تخلونا نشحد,بدكو تخلونا نشحد,Negative
Positive,بدي اروح عمره الله ييسر,بدي اروح عمره الله ييسر,Positive
Negative,برامج سخيفه تهدف لهدم الامه,برامج سخيفه تهدف لهدم الامه,Negative
Positive,برك الله فيك وجعلها في مزان حسناتيك,برك الله فيك وجعلها في مزان حسناتيك,Positive
Negative,برلمان المانيا يقر باغلبيه كبيره التخلي عن الطاقه النوويه حتى 2022 الاردن يطرح عطاءلانشاء محطه طاقه نوويه الله لا يطعمنا الحج والناس مروحه,برلمان المانيا يقر باغلبيه كبيره التخلي عن الطاقه النوويه حتى  الاردن يطرح عطاءلانشاء محطه طاقه نوويه الله لا يطعمنا الحج والناس مروحه,Negative
Negative,برنامج ساقط,برنامج ساقط,Negative
Negative,برنامج فاشل جدا,برنامج فاشل جدا,Negative
Negative,برنامج قديم,برنامج قديم,Negative
Negative,برنامج معوق ومشاركين معوقين:,برنامج معوق ومشاركين معوقين,Negative
Negative,بس اكيد وراها مصلحه,بس اكيد وراها مصلحه,Negative
Negative,بس الحكام ماعندهم ذوق للاسف,بس الحكام ماعندهم ذوق للاسف,Negative
Negative,بس الله لا يسامحكم تلقوها بصحتكم ان شاء الله,بس الله لا يسامحكم تلقوها بصحتكم ان شاء الله,Negative
Negative,بس اللي قاهرني اللي ما ينطقون حرف الراء التغ من جدهم جايين يبون يغنون,بس اللي قاهرني اللي ما ينطقون حرف الراء التغ من جدهم جايين يبون يغنون,Negative
Negative,بس مقزز,بس مقزز,Negative
Negative,بسعد ربك وصباحك عسل انت وكل من قال انا اردني وبحب القياده الهاشميه وتراب الاردن وسنح الاخوان ولاد كلب على هالصبح,بسعد ربك وصباحك عسل انت وكل من قال انا اردني وبحب القياده الهاشميه وتراب الاردن وسنح الاخوان ولاد كلب على هالصبح,Negative
Positive,بسمه امل حلوه,بسمه امل حلوه,Positive
Negative,بصفحات الفيزا على جواز السفر حاطين صور اثار الاردن عاساس هيك بس اشوفهم رح احن و ابطل اسافر,بصفحات الفيزا على جواز السفر حاطين صور اثار الاردن عاساس هيك بس اشوفهم رح احن و ابطل اسافر,Negative
Positive,بصمات راقيه لاديب الدعوه محمد الغزالي,بصمات راقيه لاديب الدعوه محمد الغزالي,Positive
Positive,بطلت كتير وكل ما اترك والتزم مع ربنا برجع تاني وكل اما ارجع ارجع اكتر من الاول,بطلت كتير وكل ما اترك والتزم مع ربنا برجع تاني وكل اما ارجع ارجع اكتر من الاول,Positive
Negative,بطني وجعتني من الضحك,بطني وجعتني من الضحك,Negative
Negative,بعد عقود مرض الكلب واستبشرنا نحن الشعب اخيرا مات الكلب واصبح ابن الكلب رئيسا بالاجماع ,بعد عقود مرض الكلب واستبشرنا نحن الشعب اخيرا مات الكلب واصبح ابن الكلب رئيسا بالاجماع,Negative
Positive,بعد عن التشاؤم وعيش يومك بالتفاؤل لغد احلى,بعد عن التشاؤم وعيش يومك بالتفاؤل لغد احلى,Positive
Negative,بعدك ما شفت اشي,بعدك ما شفت اشي,Negative
Negative,بعدين الاردن تسبح على بحر من النفط الصخر الزيتي اشتغلو فيه بالاول بيكفينا 100 سنه,بعدين الاردن تسبح على بحر من النفط الصخر الزيتي اشتغلو فيه بالاول بيكفينا  سنه,Negative
Negative,بعدين حتى الدول الي اعلنت انهاء المفاعلات النوويه زي اليابان تراجعت عن قراره,بعدين حتى الدول الي اعلنت انهاء المفاعلات النوويه زي اليابان تراجعت عن قراره,Negative
Negative,بعرف بس مو حلو,بعرف بس مو حلو,Negative
Negative,بعرف حكايات مليانه عاهات مثلكم مجانين يا صيدات جورج وسوف,بعرف حكايات مليانه عاهات مثلكم مجانين يا صيدات جورج وسوف,Negative
Positive,بعض الاصدقاء يشبهون المطر في قدرتهم على تعديل المزاج هؤلاء من احتاجهم بقربي,بعض الاصدقاء يشبهون المطر في قدرتهم على تعديل المزاج هؤلاء من احتاجهم بقربي,Positive
Negative,بعن الله ابوك انت وعدوله يالسامج,بعن الله ابوك انت وعدوله يالسامج,Negative
Negative,بعين الله يا امال كلهن ستين سبعين سنه وبمضن وبتهون,بعين الله يا امال كلهن ستين سبعين سنه وبمضن وبتهون,Negative
Negative,بقرف زيك,بقرف زيك,Negative
Negative,بقطعكم شو حقودين,بقطعكم شو حقودين,Negative
Negative,بكتب اوراق الشجر يقول موهبتي وانا صغير الله يسامح اللي كاذب عليه,بكتب اوراق الشجر يقول موهبتي وانا صغير الله يسامح اللي كاذب عليه,Negative
Negative,بكره واحد منهم بينتحر لم يضحكو عليه,بكره واحد منهم بينتحر لم يضحكو عليه,Negative
Positive,بلا هم بلا وجع راس خليك رايق دايما,بلا هم بلا وجع راس خليك رايق دايما,Positive
Negative,بلد يديرها اغبياء حراميه,بلد يديرها اغبياء حراميه,Negative
Positive,بنحاول فى كل مره نكون افضل,بنحاول فى كل مره نكون افضل,Positive
Negative,بنص المقطع سقاله موطبيعيه,بنص المقطع سقاله موطبيعيه,Negative
Negative,بني البرنامج النووي الاردني على عده تصورات خاطئه بشكل خطير تتعلق بالتكنولوجيا,بني البرنامج النووي الاردني على عده تصورات خاطئه بشكل خطير تتعلق بالتكنولوجيا,Negative
Positive,بوركت جهودك و سلمت اناملك,بوركت جهودك و سلمت اناملك,Positive
Negative,بياعين شرف,بياعين شرف,Negative
Negative,بيجيبو الشيوخ ليسهز فيهم,بيجيبو الشيوخ ليسهز فيهم,Negative
